uid	startnode	endnode	reportdate	order	ratio
96eaa79cc4a342a69fc57f77af859cd6	0027139de1d7102692676fa69dda93a2	1df57c2675c60a0ac4c5e40f23ca2bc6	2017.0	4.0	2.35
ac752bacbd39423b8502740ce02bac1d	015aabb42712bb2d196169d05cb9939e	422876eef9e2493e7ed05f4782bcf268	2019.0	5.0	5.45
41759fdf5b164076a6a7d21a44e65367	0685c16d95bb99e45dbb1c5cba7b491f	de420bd8ee886e4de9f5ac6265de3781	2017.0	1.0	9.93
67529d555768459eb8cbbf716f4696da	078c7e3931279ab2b9850d6b7bf9f4b3	0d4ad8b0f2111d543f3b43724cf785ca	2019.0	3.0	4.1
7093466377284ec49500dc7f82f105d0	265c08dc084a6c3bb9466d65182cebf1	8eac04af4a396f9d63edb7848bf3e2e2	2019.0	4.0	1.17
c5a6eb379bef49a8ac9ad35b2ff66728	38ff0f48efa6b083ccc9043a0663f7b7	127bdc182afe3be20b31cb285c9c8b34	2017.0	3.0	1.68
2fe92c11fd1841cb9a6013a93994e0d0	3d8ab960b9a4cd5eebf3ce10576d2abe	5861e2bcd24a75b6c23f1cbc512a1c17	2017.0	1.0	1.17
05087288656a403bbfc479138d61c284	41a3b428b19b4d85774b2772969c838d	b8a5d08f401618fb688d8f89f3ad3824	2017.0	2.0	11.93
6c607570ac424a5ba16f11be33b1812c	48912d6f30923b4cbcac3a908127c33b	2b96d1c257d22de7a65c5af4eaf957d1	2019.0	3.0	1.67
4e51740742f24b1680bf9a3d353f8049	4d333988dd7a8bd42b6fd4b111e610be	2c3682d6983e1f507503d689ad76399e	2017.0	1.0	6.54
87767ae5673046cabae68d7d064703cc	4d6a73ac97c192271a416431eac57736	aa25f63f8feb659804d99e266749e031	2019.0	2.0	4.45
579d45e4da344bc38be45a7a9c18db6b	513326c416e8fe1b15f84bc7f4b1352b	5b865977471c86a7179a15388a61cd62	2017.0	4.0	1.87
9c86b5aa73db4d4492fdd7eb0d87da44	52ae68440ea5567dc09928288caa724a	28fb253289238b7f439942e7f36372e2	2017.0	4.0	9.66
4a26cf6cef6740d9b645339aa9ebbf48	543edbb64b68fa16743e922c66912808	27ca2e78c57ab9f12295f16185bd9c41	2018.0	4.0	6.06
