uid	startnode	endnode	reportdate
5250e45cc5624a1d86a8f8662945a5c9	01e887105bc380d9ebefc94756de7154	a64a611610c24e0fd8c2d8102e8a1455	""
5a759a7bf46b446a8b8f2dc09dbc4268	03a20c1730f5c929eac3a4a9b935706f	89c9668dbaf17829470196f55db058ff	""
1620803171154870bbf4f5c77f92723f	04008c15dcbf73558aa74a7e7b1ed633	da5fe32d56aea6d16c7c425d2f6f4c97	""
7f006fe1f4074e70b440670f3169d3de	041ceb847a06f6034d1d0877a761de4d	27886610e12c2beb806e0f5db60971fa	""
ab96e69702404d4da4a99441252328b1	0652b2b5705f9c38c00d0e030bb11a67	e8626a7565f93a4947bb3aa6d580538f	""
ffc6686f38114e168ebd9c22eb8d144e	0672a96ad971ee4a28cee8c6c9152a4d	f411ac6b922ae4689f68de2bf1a61135	""
90578b323b1644eba304e208b710f63e	08396bfb9d2bed1e456ca9a502ccbeea	db5160f469d8da38b8ae6f17bd53e2a7	""
73ef10fceab04c0d8d0c0c6edee30695	08396bfb9d2bed1e456ca9a502ccbeea	f444ac6ef90599ab3edf59504491094c	""
f20d580b6c6c41eb95d6275aa141048a	0db15e41375c7bff99d76ae7fee6116c	8f0e9c2a64fd5951e29ceae7a133a102	""
309e81f8223d482cb4d3aefbd609527a	0db15e41375c7bff99d76ae7fee6116c	cf7467a534a913c66fb2d7df633d581b	""
b06db3d5a4304436b554e9eb368a69ad	101433527bd3966e033c4434eb7a3538	f5821d761a5cb6fd48258e975e02cd53	""
d53a2555dfc34308ad86172c96aa6cc7	1123b83dd1e6ab33844cff21a14621e7	38eaa4753e06c747d47e7849bfa468b7	""
d0659ab3fd1c4483b149d93a150c135d	127ed7494d96036edbf39317da95e1b6	4c22ef33441b86bd6f84ec99044c9879	""
7ca95c999d5644fb82ac117dc1d796e8	129e9421509e70a174ee4bc11793dc6e	d943a7622c5b2c5b647ad55d36b02cad	""
fdb7328b5af34ea9a4f3915a9753f7ec	1615684122c85b47c6a7cf62723c0937	57eac0e19d5cef259f3c3d7183155e70	""
b228079c897b42eb9d1996f5454f213e	164ebe5d6b512db264b8acbae493ccf6	fb2885db47025ce317a9a296ae8024e6	""
43ac8853c13b4fe9b7e5d77fa6a83dc5	17fcea33ecd31a30b79f7ccd94f5faaf	d490a4b4d27307300fe801e7670d4087	""
83a600064c8a4d79a487f4aac68733c6	1a4334a63a89b157f7fe9866d41f0349	0bb58847cac03aa9fc9b2fcf6f86ce46	""
c72d398a2b0a430c909a1d74bc6ab4a4	1a65d3e00c217c58778f28d7bb071ef0	3b621bfcb7092bdfc80ba23f3cc0372a	""
153a9cac5434410dba848875bce85b05	1aaeed295d80dfba5324dede2db6499d	bfdc53dbeb4bd5eb1300ae1c9266b42e	""
65b44c6fd68848338f4b4f044acdea4d	1b4bc99c74b7ca676507189c83e7e90f	3aee5a10dc2cca8d1617b1510f74788c	""
0bc32708b0644b168fd623e665758b61	1c6593916f69799a4b0e771d62f2ba29	f00a8c664922e81704b6e60ad8e415e1	""
d030a63b6d834e75b16baa3ead211676	1ce9ecfeb1a0b5377bc40805d1410398	c4e7923ff8c9d02bb2855d1f1c233325	""
31750739d8a94cf29f0bb95e86619036	1f02fc739f3db061bb0dfa0ebeee4fd0	1f0484999d9bbf227c8928b10f1fea8a	""
c0bf164e70fb4f68aaedf0d48e09262d	1fa797f482710a2dfb2c5c37007d80a0	13a9feae9261f98522897bdb0292ac24	""
e80bd5b5d98543fc9d21f33bb65a156b	24d2e7493fb73b146c276d3106f6ec47	d6f8d74c1395e825fd50e3bdae724ce7	""
85d8d19d2e1743e7af7ec09d6dd5720b	259765eeb43e51d9286a81f3f80f7699	9ba8081764c423d80218f91d9a546040	""
e1a9cac2155a4c1090bdd72ab6f52938	2729a9cc3fd1cd09ab783038b0f387cd	ae018c13394b7bc1162d5e9c9a174c0d	""
fc6e9c6612e9428bb7932c99da392537	28540f21cc923a0ca60eeb58d3ed0be8	99f8019e36dd86e641ac19a39d53e7bc	""
b142e041665e49bab49f89c857e8b947	28b602daa9b4f219f2d59a01a81ca73d	d46293d7c7fa9350052da41f8937373a	""
5036240649d548b0b7c6243bd5922455	28e532ed1ae2b57cc2f498f2d057f0e8	b155cac2825c4ee8e08b9b552bd74a6d	""
87530cdf4df4451794d0e3aa11434cc0	291259743e95e28a41795c3bd1e617d8	89cea08c8e39c3c885ccfa86a2d36249	""
c251b8b8e1774f18883eb3f7bc9b3cad	2c520108bda9cb0f21a6689c104dd659	150d0d625b2f4aca251cc933bb6febca	""
17bfe5e5e398483ba22aafee83d00bd2	2c63360d926a5ea0b88098fbf4e266f7	5de63818183a62ff4a690bf419cea352	""
2d1609775a7b41248a4248a7aaa65c1b	2d462425a06d6396e5bcde884c8fdcdd	aef9279115a5566dd4af5ce38c0a04c8	""
daf72356620c4380a75742cd34271720	2e24f84660379d7891f454d799a2174f	70d58c29b5e539a6b036dc0b8aa5c57f	""
8abcff13f444401392ff566399c9f348	2e50ebafb8d2ca4aa994f3c04a228331	fa4d921c08615c3c65e387d2b78f75a1	""
6d116541da16432895f2db1ab1fb2843	32d85de645fe6f456aacfe9e28386c3e	8225bfcb0adb4af7547db3628131439c	""
