uid	startnode	endnode	reportdate	order	amount	ratio
8788311f45a4451e89e520679d825f95	0293d1d08c03326aae35d06515ce0e14	5e6045d5b26b60f691d2b6fb28b01728	""	1	237069604	13.09
2166890e16e24b1e8f18880c7fbff74e	04e5d5376665daafea8ae730539d6365	b1d01482041d1533ca7da55edc86d98b	""	0	143967111	17.61
96e2dc84ab16477f80bd782308098d4b	08789fe37af5cf3fbc2f0bda73a47f36	105ba16fd070e9d4d2c421eb5dde4eef	""	6	4311643	1.6
443e40a0f7944e0fa0b72692e009ff11	092ff4a91d8d0e5c4e534a86645fbb0c	4a7c68df9a2b5cfdc1afb4a2e1710232	""	1	98507430	14.48
21b71292cffa4d2cbf5c50ddbe706e67	0b2bacacb2b5f573c5ccbe9a76a38e2d	15d6d8f4d3f587a7cb113a73c0b9fa56	""	2	53939397	3.07
e40eaffb032a49c1ac64f6fc96cf9cc7	0b9a42abdc1105b7832c980f44336302	3a55cc4f17412e5df3d7e5927896f768	""	0	692632562	29.48
612acadf1e2546b79100d3b96056f1ba	1019e149b1f7278a68ba81fc8b8fbf7c	8c02917bb8ae08f6da96c8fdc1be644e	""	1	26799460	22.01
6e8a8b34f9384328a2ede75359e51795	1103bd4fa35a68c431189829db6448fb	3a0001b93b05803ec483c1c8c7fa57e3	""	1	92490071	16.01
adffd13fe1644f1f8d00aa303a8f3d36	120a0b99551ee8092c1e7d70dc83f45c	da98459935af61a7f418a7f275ecc8c4	""	4	11337902	1.21
258ddb4b8a3144948f42477d002d163c	124164b4e6129d4df724ec97e5d35308	a25bfc5135a11261b2634df0a225d245	""	8	2748750	0.15
e538cf09e72f4bdaadcdac6cf7cd24ac	13d8f4396fe295b94586ca6114965768	c35152f35b90eb08851573497b92ae42	""	6	12395290	1.62
c1cc4fc8c66c4cc7b60beac3018e9494	1461466efe0ff8cdd433e2e590a12689	c792548118fce2c98acefde22cfd516e	""	0	754357091	62.86
60ebf73689e745129846980c0e752681	18e24a947f7531ad55019ee259302936	1033f0c45a5fd85891e37d359ff4b4f4	""	5	2400000	2.1763
c990a1141fe84dacb06ab1b2fa06fd11	1958c53c8b626bfafef41f5139051607	5b005c4dd2470ea70e9c9857ab2f2d56	""	2	81452666	4.29
836e1e37823a423fb510f3ae8116eac9	1ad49e98b8fe83fa742bcad4ab2bd5ce	fee83537aa790deb70e423eef355307a	""	7	3981218	0.52
76c1a60e578a41329599c64e9c15e1cc	1da59737ece4755e9b4809946268315e	031aa579334e7ab2d88c7bcdcfba2dc3	""	1	286710974	5.27
01601bbc2338478daded766e67643901	200cfc29acec35ab661892aa34dfc2ab	adf30001d2186ac940deb83c10046815	""	7	18618540	1.93
4bb8480fb62f4d769dfc23a8f49977c7	2244c4813997841c4cc31adf0b7b6645	17d8161e6c8b72365efc9b527542400e	""	8	2533154	0.29
eb7ba78fa3ca4027954b68fcd31ed38c	230b0e0a67b42eef9ad4b8ee7854b4b8	136a59cfcaeb60708af6ed76b3f00c96	""	7	30293991	1.73
7204f2b64f2a4ddaac249ac2d5f0216a	24284c582859fbaa5438c66e968a803a	806352bceae5a1aa087c22f03e2584b1	""	2	67365269	4.93
d982705f9898495e89018ba5528d9157	24c251ddf00f89efbbcfb026eddb2f04	3a9c9470c74a2c83529a2910499168d8	""	4	60174644	2.8
88136bd4a1dd45058d86147ee3b72ea7	25ba3cb788f7b6611cefcf121711940f	bfdf6318c99244a2a6c4164528994730	""	8	8721357	1.09
9cc219357681427c8d445ab58f88cb48	267753f76ef0bb19c8607aa67131feaa	4dba9625d891aee896538be36ba70ced	""	5	9593631	0.76
f649c8f49cd042159d62ee99c2490221	29d5d272873cc095b43df7d5b3238df5	82092551d4668429d071666bca5b4522	""	7	2000000	2.5
13ad1bbd7f23465badfc7a0f6987c165	33bbeca6039d6340c3d53b70a302ff1c	d14ef926411fb3fe774b2d9d8f66759c	""	0	1575308090	23.51
6998f89ee4d14be19926502c9168b71f	33feea650fdb40fd99c230000fe535c4	7cc4154200ae542a29bcc7276ec725ee	""	6	131841042	3.39
0d843b3dba62474595efa154bfe9e6ec	36627198b22781c6468c83d2dfa067fc	4fca96874349e753d79368e62f52c051	""	5	14963816	2.42
24cabbb3640e4d34aa52e3c02cc0bf6b	3754f2511058258d92d8aacee42c1687	e3e6b12a3ce2e7e50872b31320059f74	""	6	1675844	1.59
5d3e131c6323410bba26dd023d26e279	37f937da584c80ab506cda34d834b790	fe0aced14b9bfc526ad44c2fcebd7bff	""	1	24536147	6.66
6633ee99dda3425bba96d4cdb63b1858	3801787a8f8b95c8d98e7145222b94e8	cd2a8fee8210325e1bd72c4fed6f860c	""	4	56568612	1.82
35871c5e0c2d4edb907073f686431f9e	3b669aa91bbef76dc14b3f759f085ae1	1fd402e3f244285a9b3b8ebd64af49c4	""	0	536317548	60.94
2d681ecaeb354cb4bd164b67a30e1af9	3b88f7c2db6956caf18349ac31e3211d	a1b40819b8f631657cdf1028bc7cc6ea	""	9	1663300	0.26
cb01076317834c4daae8f4d32658b217	3ff293ed3f23fb1161b31de68c1ee378	1557e57500647b3f375480feedbb4f69	""	2	29673590	2.59
bc71c54c24d04bff9e9513c078c2c5d3	443b54de37dc6b30f640b42f7566d2c1	884bcbd1f6f74779e52447cdb5fc2878	""	2	8131799	2.82
9ae8448ec5aa479e9df7d18b314a5685	450f290812385dd1a601d1974e3755a0	290101f4cd4ec0417499d245aab03745	""	8	10939883	0.76
5127501506a84fb7be592c2863ace083	4a15c40900a2a79e7f7e27259ce2219a	eb668cc867ef6f5d2209f6a15bd80e05	""	8	201948582	1.1
d07e3d5b909d47cb871ddae047badd65	4c1170213ef1169c41d24ebbf33a49f4	8cac9f32d9a4012f49711ecf1831b460	""	5	64000772	1.27
d1b7bb4fd1954f77ba50bd7103d5b934	4cc754dac9eab18b4a375d41f68280eb	e039cb3bf77f79c1a172d4a18b6c3bc3	""	7	16378000	0.83
f286f0271065433e960ca08412c3da49	4e5ea1dfe7a990334c19d40b6c4eb431	0bbdfcff254d81b5a365efbe7791f63a	""	3	11253490	1.87
f858032c813044a7a7dc4465108948a3	4e5ea1dfe7a990334c19d40b6c4eb431	3961bd935615d81d0118c5f89a48d482	""	2	58754349	2.51
f05dbb04d96b4d4292963fce827a891a	4e5ea1dfe7a990334c19d40b6c4eb431	67457d217e311af3fec5934464c83852	""	4	7594102	1.62
