mc	gpdm	bgnd	order	bl
GANA MACHINE CO.,LTD	300823.SZ	2017.0	4.0	2.87
K	002933.SZ	2017.0	2.0	20.43
K	300777.SZ	2017.0	5.0	0.13
Medline Industries,Inc.	603059.SH	2017.0	1.0	10.91
Segen Ltd.	300763.SZ	2018.0	2.0	6.69
Segen Ltd.	300763.SZ	2017.0	5.0	2.4
上海仪电物联技术股份有限公司	300330.SZ	2017.0	2.0	7.2
上海君信石油化工有限公司	000407.SZ	2019.0	1.0	8.09
上海宇麟文化传媒有限公司	600052.SH	2019.0	1.0	12.46
上海市奉贤区规划和土地管理局	300826.SZ	2018.0	5.0	2.6
上海紫江国际贸易有限公司	002058.SZ	2017.0	2.0	3.46
上海紫江国际贸易有限公司	002058.SZ	2018.0	4.0	1.99
上海紫江国际贸易有限公司	002058.SZ	2019.0	5.0	1.69
上海金川国际贸易有限公司	601212.SH	2017.0	4.0	6.38
上海金川国际贸易有限公司	601168.SH	2018.0	4.0	6.05
个人一	000014.SZ	2018.0	1.0	1.9
个人一	000014.SZ	2019.0	1.0	6.11
中国交建及其	300823.SZ	2019.0	3.0	2.32
中国交建及其	300823.SZ	2018.0	4.0	2.24
中海油	600968.SH	2017.0	1.0	50.9
中海油	600968.SH	2018.0	1.0	49.02
中海油服	600968.SH	2018.0	4.0	2.38
中海油服	600968.SH	2017.0	5.0	2.35
亚玛逊信息设备(广州)有限公司	300282.SZ	2019.0	3.0	6.8
伊莱克斯	300160.SZ	2018.0	3.0	7.65
伊莱克斯	300160.SZ	2017.0	4.0	6.6
保山睿宏商贸有限公司	600883.SH	2018.0	3.0	6.53
保山睿宏商贸有限公司	600883.SH	2017.0	5.0	4.54
信通科创科技股份有限公司	002912.SZ	2017.0	4.0	6.32
加纳 ECG	300139.SZ	2017.0	1.0	52.07
北京每日优鲜电子商务有限公司	300012.SZ	2019.0	5.0	0.38
哈尔滨电气股份有限公司及其附属	603318.SH	2017.0	2.0	12
国家能源投资集团有限责任公司	300105.SZ	2018.0	1.0	49.38
国家能源投资集团有限责任公司	300105.SZ	2019.0	1.0	71.12
国家能源投资集团有限责任公司	688096.SH	2017.0	4.0	5.95
国巨股份	688025.SH	2017.0	2.0	4.56
国巨股份	688025.SH	2018.0	2.0	11.51
太合乐动文化发展(天津)有限公司	000673.SZ	2019.0	1.0	8.1
宁波高新区开发投资有限公司	002586.SZ	2019.0	5.0	3.09
山西中地地质工程有限公司	002360.SZ	2017.0	1.0	11.22
山西中地地质工程有限公司	002360.SZ	2018.0	1.0	11.91
平湖九龙山商务公馆管理有限公司	600555.SH	2017.0	5.0	1.54
平湖九龙山商务公馆管理有限公司	600555.SH	2018.0	5.0	3.63
康师傅饮品投资(中国)有限公司	603076.SH	2017.0	5.0	3.8
浙江省新华书店集团有限公司	300788.SZ	2018.0	4.0	2.44
浙江省新华书店集团有限公司	300788.SZ	2017.0	5.0	3.14
甘肃省水务投资有限责任公司	000779.SZ	2018.0	2.0	1.33
甘肃省水务投资有限责任公司	000779.SZ	2019.0	3.0	2.88
石河子市疆垦商贸有限公司	300106.SZ	2018.0	3.0	2.78
石河子市疆垦商贸有限公司	300106.SZ	2019.0	3.0	4.19
美国百利高国际公司	000756.SZ	2017.0	1.0	3.39
美国百利高国际公司	000756.SZ	2018.0	1.0	4.06
美国百利高国际公司	000756.SZ	2019.0	1.0	4.35
银川淡水矿产贸易有限公司	000688.SZ	2017.0	3.0	5.86
镇江新区房产管理处	002077.SZ	2018.0	1.0	30.63
长沙百江能源实业有限公司	000819.SZ	2018.0	4.0	1.89
隆基绿能科技股份有限公司	300820.SZ	2017.0	3.0	5.96
高峰创建家私(深圳)有限公司	605288.SH	2017.0	4.0	4.35
ASB Makine Sanayi ve Ticaret A.S.	603289.SH	2017.0	2.0	7.15
Audi ,  Seat	300473.SZ	2017.0	2.0	11.17
Belkin	300787.SZ	2018.0	2.0	9.2
Belkin	300787.SZ	2017.0	3.0	7.51
EAGLE KINGDOM TECHNOLOGIES LIMITED	002848.SZ	2018.0	1.0	14.76
EAGLE KINGDOM TECHNOLOGIES LIMITED	002848.SZ	2017.0	4.0	4.14
GOOD LEADER ELECTRONICS LIMITED	002077.SZ	2017.0	3.0	4.08
Haworth	603583.SH	2017.0	5.0	4.75
INDUKERNCHEMIEAG	000627.SZ	2019.0	5.0	3.96
PETROINEOS TRADING LIMITED	688196.SH	2019.0	3.0	6.78
Wal-Mart Stores Inc.	002444.SZ	2017.0	3.0	9.72
东营市华兴化工有限责任公司	002476.SZ	2017.0	5.0	1.76
个人5	000918.SZ	2017.0	5.0	0.25
个人5	000918.SZ	2018.0	5.0	0.18
个人5	000918.SZ	2019.0	5.0	0.67
中国石化化工销售有限公司华中分公司	600989.SH	2018.0	5.0	3.61
中国铁建大桥工程局集团有限公司	002459.SZ	2017.0	5.0	3.58
中广电传媒有限公司	002238.SZ	2018.0	5.0	0.27
临沂烨华焦化有限公司	600212.SH	2017.0	4.0	2.24
乐视智能终端科技有限公司乐视控股(北京)有限公司乐视移动智能信息技术(北京)有限公司()	300104.SZ	2017.0	1.0	52.65
五的	000707.SZ	2017.0	5.0	1.4
五的	000707.SZ	2018.0	5.0	1.47
五的	000707.SZ	2019.0	5.0	2.22
亚洲新能源(宝应)风力发电有限公司	300040.SZ	2019.0	5.0	2.59
北京东方中原教育科技有限公司	688007.SH	2017.0	2.0	16.2
北京东方中原教育科技有限公司	688007.SH	2018.0	3.0	9.98
北海市中医医院	600538.SH	2018.0	4.0	3.5
千禧光医疗器械(泰州)有限公司,苏州千禧光医疗科技有限公司	688310.SH	2017.0	4.0	6.31
南京风电科技有限公司	300185.SZ	2019.0	2.0	3
四川北新天曌投资发展有限公司(BOT业务)	002307.SZ	2019.0	1.0	30.49
国网湖北省电力有限公司物资公司	300360.SZ	2018.0	5.0	2.84
国网湖北省电力有限公司物资公司	002452.SZ	2018.0	3.0	3.84
国道331线北银根至路井段公路工程建设管理	600853.SH	2019.0	4.0	2.37
天津瑞博国际贸易有限公司	600721.SH	2017.0	2.0	11.42
山东晨乐生物科技有限公司	002604.SZ	2018.0	1.0	12.89
山东石横特钢集团有限公司	000655.SZ	2018.0	2.0	10.82
山东石横特钢集团有限公司	000655.SZ	2019.0	2.0	8.99
山西高义钢铁有限公司	300091.SZ	2019.0	2.0	9.39
广西机场管理集团有限责任公司	002990.SZ	2019.0	2.0	7.55
新乐视智家电子科技(天津)有限公司	002420.SZ	2017.0	2.0	22.13
河南永通铝业公司	000933.SZ	2019.0	2.0	5.18
济宁市天龙汽车销售服务有限公司	000927.SZ	2018.0	3.0	2.64
济宁市天龙汽车销售服务有限公司	000927.SZ	2017.0	4.0	2.69
浙江格家网络技术有限公司	002574.SZ	2019.0	1.0	7.97
湖北三环成套工业有限公司	000410.SZ	2018.0	2.0	7.72
珠海兴业新材料科技有限公司	688181.SH	2017.0	5.0	1.42
福建星泽建材有限公司	000789.SZ	2017.0	1.0	1.3
销售一	300455.SZ	2019.0	1.0	52.98
销售一	300266.SZ	2017.0	1.0	6.66
销售一	300266.SZ	2018.0	1.0	9.18
销售一	600381.SH	2017.0	1.0	20.97
销售一	600381.SH	2018.0	1.0	14.48
销售一	600381.SH	2019.0	1.0	13.44
销售一	603168.SH	2017.0	1.0	23.8
销售一	603168.SH	2018.0	1.0	19.12
销售一	603168.SH	2019.0	1.0	10.94
销售一	600256.SH	2019.0	1.0	7.16
销售一	600115.SH	2018.0	1.0	6.36
销售一	000826.SZ	2017.0	1.0	3.46
销售一	000826.SZ	2018.0	1.0	1.83
销售一	000826.SZ	2019.0	1.0	2.55
阿荣旗蒙西水泥有限公司	000571.SZ	2019.0	1.0	5.96
阿里巴巴(中国)网络技术有限公司(零售通)	300783.SZ	2018.0	5.0	2.25
BASHNEFT INTERNATIONAL B.V.	603619.SH	2017.0	2.0	8.76
Great Empire Management Ltd.	000892.SZ	2017.0	5.0	7.35
IZUMI SANGYO LTD.	002785.SZ	2018.0	4.0	2.89
KRKA,D.D.NOVO MESTO	603538.SH	2017.0	1.0	71.09
Mediterranean Shipping Co. SA	000039.SZ	2017.0	2.0	5.07
NextEra Energy,Inc.	688599.SH	2019.0	1.0	5.23
Procter & Gamble International Operations SA	000066.SZ	2018.0	4.0	2.49
SBT	000726.SZ	2017.0	1.0	5.33
上海宝晟能源有限公司	601008.SH	2019.0	5.0	1.92
上海轨道交通十八号线发展有限公司	600170.SH	2019.0	3.0	0.68
中联重科股份有限公司	000622.SZ	2019.0	3.0	4.11
乐家集团	603992.SH	2017.0	5.0	4.16
九州通集团	688363.SH	2017.0	2.0	4.71
保定新奥燃气有限公司	600956.SH	2017.0	3.0	8.05
保定新奥燃气有限公司	600956.SH	2018.0	5.0	6.59
保定新奥燃气有限公司	600956.SH	2019.0	5.0	6.04
光明半导体(天津)有限公司KMS	002983.SZ	2019.0	1.0	13.86
勇气模具塑胶(苏州)有限公司	300160.SZ	2019.0	4.0	4.24
北京中航弱电系统工程有限公司	002990.SZ	2018.0	2.0	5.84
南京学兴科技发展有限公司	688108.SH	2017.0	2.0	1.09
合肥市包河区疾病预防控制中心	300841.SZ	2017.0	1.0	5.39
合肥市包河区疾病预防控制中心	300841.SZ	2018.0	2.0	2.42
合肥市包河区疾病预防控制中心	300841.SZ	2019.0	2.0	2.33
四川省动物疫病预防控制中心	688098.SH	2018.0	4.0	6.48
国电投	300827.SZ	2017.0	1.0	17.55
国电投	300827.SZ	2018.0	1.0	16.36
国电投	300827.SZ	2019.0	2.0	16.48
国网山东省电力公司信息通信公司	300277.SZ	2018.0	3.0	5.51
国药控股常州有限公司	300434.SZ	2017.0	1.0	6.55
国药控股常州有限公司	300434.SZ	2019.0	2.0	2.61
安徽美芝制冷设备有限公司	300342.SZ	2019.0	2.0	8.45
安徽美芝制冷设备有限公司	300342.SZ	2018.0	3.0	8.26
安徽美芝制冷设备有限公司	300342.SZ	2017.0	4.0	7.61
山东省某公司二	002310.SZ	2019.0	3.0	4.22
山西安泰集团冶炼有限公司	600408.SH	2019.0	2.0	11.99
山西安泰集团冶炼有限公司	600408.SH	2017.0	3.0	7.85
山西安泰集团冶炼有限公司	600408.SH	2018.0	3.0	8.88
平顶山天安煤业股份有限公司	002691.SZ	2017.0	1.0	9.46
平顶山天安煤业股份有限公司	002691.SZ	2019.0	1.0	25.55
张家口国储液化天然气有限公司	000669.SZ	2018.0	2.0	2.35
张家口国储液化天然气有限公司	000669.SZ	2017.0	3.0	2.14
成都天马精密机械有限公司	002122.SZ	2019.0	1.0	20.49
明阳智慧能源集团股份公司	300095.SZ	2017.0	4.0	2.84
明阳智慧能源集团股份公司	300095.SZ	2019.0	4.0	4.61
明阳智慧能源集团股份公司	300095.SZ	2018.0	5.0	3.4
杭州华东医药集团新药研究院有限公司	688202.SH	2018.0	2.0	4.8
殷**	603517.SH	2019.0	3.0	0.87
河北恒百药业有限公司	000566.SZ	2017.0	3.0	1.85
联想(北京)有限公司	300071.SZ	2017.0	2.0	6.27
联邦制药(内蒙古)有限公司	300430.SZ	2017.0	4.0	4.15
BORDERLESS Co.,Ltd.	603985.SH	2018.0	2.0	6.36
BORDERLESS Co.,Ltd.	603985.SH	2017.0	3.0	7.97
BPW Bergische Achsen Kommanditgesellschaft	000678.SZ	2017.0	3.0	7.08
Optibelt GmbH	300780.SZ	2018.0	3.0	3.56
SINGER(SRILANKA)PLC	002021.SZ	2019.0	1.0	5.89
United Nations Children's Fund	688139.SH	2018.0	1.0	8.96
VertexPharmaceuticalsInc.	300725.SZ	2018.0	2.0	4.51
万华化学(宁波)有限公司	002095.SZ	2017.0	2.0	4.98
万华化学(宁波)有限公司	002095.SZ	2018.0	4.0	3.27
万科企业股份有限公司	002989.SZ	2017.0	1.0	39.54
万科企业股份有限公司	002989.SZ	2018.0	1.0	24.76
万科企业股份有限公司	002989.SZ	2019.0	1.0	39.54
万科企业股份有限公司	002949.SZ	2017.0	2.0	12.55
万科企业股份有限公司	002285.SZ	2017.0	2.0	2.62
万科企业股份有限公司	002285.SZ	2018.0	2.0	2.12
万科企业股份有限公司	002285.SZ	2019.0	3.0	1.67
上海日进机床有限公司	300029.SZ	2019.0	3.0	4.96
上海汉涛信息咨询有限公司	300085.SZ	2017.0	1.0	4.39
上海汉涛信息咨询有限公司	300085.SZ	2018.0	1.0	3.96
丙公司	000411.SZ	2017.0	3.0	1.47
丙公司	000411.SZ	2018.0	3.0	1.56
丙公司	000411.SZ	2019.0	3.0	1.87
丙公司	600500.SH	2017.0	3.0	1.17
中交三公局项目部	000791.SZ	2017.0	3.0	0.01
中国港湾工程有限责任公司	600170.SH	2017.0	2.0	1.08
中国石化	000626.SZ	2019.0	4.0	2
中建一局集团建设发展有限公司	000931.SZ	2018.0	4.0	3.02
中建一局集团建设发展有限公司	000931.SZ	2019.0	4.0	1.79
中建一局集团建设发展有限公司	000931.SZ	2017.0	5.0	0.73
中铁北京工程局集团有限公司	002459.SZ	2017.0	1.0	7.76
中铁北京工程局集团有限公司	002459.SZ	2018.0	2.0	9.03
云浮联发化工有限公司	000833.SZ	2017.0	3.0	4.64
佘山和园某二	600773.SH	2018.0	3.0	1.05
厦门金龙旅行车有限公司	002213.SZ	2017.0	3.0	7.69
双流区鑫未食品经营部	603697.SH	2017.0	3.0	1.51
喀什光迅网络科技有限公司	002591.SZ	2018.0	3.0	3.54
国际某知名食品企业	600873.SH	2018.0	2.0	2.66
夏王纸业	603733.SH	2018.0	1.0	4.46
大福	300828.SZ	2017.0	4.0	4.33
大福	300828.SZ	2018.0	4.0	6.66
宁波格辰贸易有限公司	000558.SZ	2017.0	5.0	4.42
安徽省人民政府网站	688228.SH	2019.0	3.0	4.28
山东省中鲁远洋(烟台)食品有限公司	000798.SZ	2017.0	3.0	9.54
山东省中鲁远洋(烟台)食品有限公司	000798.SZ	2019.0	3.0	7.36
山东省中鲁远洋(烟台)食品有限公司	000798.SZ	2018.0	4.0	5.63
常柴股份有限公司	300816.SZ	2018.0	5.0	1.3
