uid	name	code	upper_name	upper_code
a0ab55913660f13d3b1c4b81213d262c	房地产业	K70	房地产业	K
aaa4a9495a29e681dafb0d7afbfc8729	渔业	A04	农、林、牧、渔业	A
f3f8a4cf1200c3dd8e7ab65f12da928a	餐饮业	H62	住宿和餐饮业	H
7fc450e755d2e43a0c0bfd8fab1573df	文教、工美、体育和娱乐用品制造业	C24	制造业	C
245d9476e372a18e92838e9213ee568a	保险业	J68	金融业	J
1cbe138b837767e5aa5b2bb24209c46e	仓储业	G59	交通运输、仓储和邮政业	G
888f94d06cf45e70afd2b754d6fbcec7	农、林、牧、渔服务业	A05	农、林、牧、渔业	A
29d70144ff837b3befa41bb89bf3fff1	燃气生产和供应业	D45	电力、热力、燃气及水生产和供应业	D
524a6ce59b67e24837f027528a853dd1	航空运输业	G56	交通运输、仓储和邮政业	G
0d2a221c6ff427c42c92f3b718a14c2e	废弃资源综合利用业	C42	制造业	C
3fc786dc75bfa561bd16f48ae8116cc3	林业	A02	农、林、牧、渔业	A
682fa977e9228dd9b1078f6b4a0e23e9	公共设施管理业	N78	水利、环境和公共设施管理业	N
aa53179086af3246ccdb95b4fade15f0	批发业	F51	批发和零售业	F
ba21ded04ae9c290e17248c1ee260796	煤炭开采和洗选业	B06	采矿业	B
a2aec0f8f9f9ea89f07933bb5932efc5	住宿业	H61	住宿和餐饮业	H
def3cd834c801efbf5488b0b8e14ec04	专业技术服务业	M74	科学研究和技术服务业	M
d9737ac319b20b766c057c08d4bbb2a4	研究和试验发展	M73	科学研究和技术服务业	M
10a35ddba252881a8dd71a9f5635c376	货币金融服务	J66	金融业	J
cb3dd3d35a1d0d76e07c6f6a823794eb	造纸和纸制品业	C22	制造业	C
6c139bb62fe79d35dc5da177615e1086	生态保护和环境治理业	N77	水利、环境和公共设施管理业	N
5ad64a8ffb9388481ec1dda712332362	黑色金属冶炼和压延加工业	C31	制造业	C
deade8f05bb7a47e0841126956cf993b	装卸搬运和运输代理业	G58	交通运输、仓储和邮政业	G
eb78bced8c63c08a27fb36f5ee640d11	土木工程建筑业	E48	建筑业	E
ff674263f1d91d4cae25facbb8a73e52	机动车、电子产品和日用产品修理业	O80	居民服务、修理和其他服务业	O
9235cf21e01fb414df1fc1149b319432	铁路运输业	G53	交通运输、仓储和邮政业	G
73c471bca8d33b61473ec465497ec233	其他金融业	J69	金融业	J
34e3c97ca245d1aec1abeea5426b2f34	印刷和记录媒介复制业	C23	制造业	C
7fd0896e476480e5e2e52af847921fd6	农业	A01	农、林、牧、渔业	A
e0b2f68de425a6294611be0ece7d0231	仪器仪表制造业	C40	制造业	C
50020a5adada38e5f9b94345bc77baa1	建筑安装业	E49	建筑业	E
5c343d90599bb593e385014f8a09260e	家具制造业	C21	制造业	C
