uid	startnode	endnode	reportdate	order	ratio
3f444920514448f5a8a2df245e6e2a40	067c8b3fdaf80be00d2d15bde3618fc4	b728e6e6167a752fbe20d54131746c97	2019.0	4.0	2.2
d2a1095660a04efcadc5104ddce8c0a9	088ef7428325b8c00242c04d62e6318c	b28650ba73bcdb08baedf7c4431969ed	2018.0	3.0	8.01
b07929659b1b4897860bb5270fe6c9b3	0ac1cb24514d2f6d1a6f38e3deb26a5b	ce4c3e7b00dcdd45f4b9fc6eccc99481	2018.0	2.0	0.14
5d14e7669aaa4c72b0bd81ce41bfdfc3	0d6c62fde62cda6202bfbb05c6f4ecaa	058fd46a2013942d765c4ad411b6eb15	2019.0	1.0	4.05
6d55ae11a38c42f2baf8356b56579d62	103ee17393ae5a771577b19d38d4103f	973e3b5c56930ba60ee2ff5007630754	2019.0	2.0	2.16
2f937aea70f74fd4b7abb413ef216116	1496591951d1fa49ce601b516221fcd3	f78942f5f1e024ec0933057824bcd788	2019.0	2.0	9.33
477d04fed67f4fccaff21da3af063243	17f9567710a94889b99678d413b17f53	928a201271cbe56f92063ec631669631	2018.0	2.0	22.47
aa4d8b5ae14c4abc8f5066e17dcf169d	1c4ca12d8f598a4eb93273ff6303f1e3	0f24c67a3a26432f8b3c89fddb0fea62	2019.0	2.0	0.15
70fc9435aa394e2788ee5ae979876db5	1ce104d6345d0bea0c7e916e8666bd5a	fde0c4766c18396ed56af19b2ae4eaa2	2017.0	4.0	2.83
cea8a00ca59d41b39d74553daa946336	1d5a0743290857abf3c3aeca61b60a4a	b103dda522eb049d27a199761015549f	2019.0	2.0	10.23
33f1cea5dc734436ad24956d7485aba2	1f394f3fdacaa1fe142a5b1393eb4e91	6344566453ece6ec9e6206f47397eabc	2017.0	2.0	9.41
ba33c9fdf0a8419ca20a33d2e5c02f5a	2990c6f4a47f597aa1612a2c9b406f0b	a29bcfd975f7554bb3e9f2d39997927a	2019.0	4.0	3.34
