uid	startnode	endnode	reportdate	order	amount	ratio
b74b845a788542b0b72fd9122ce9838e	02cf43374ce427e3961490174a048b99	5ff5646ff723815c1c7f8365bb211091	""	4	2850000	3.38
cddd7ba154c741298b1145c2c9754440	06e5d078dedd1a4644e6d5e7b4ff93a0	1ce9ecfeb1a0b5377bc40805d1410398	""	1	61730614	11.48
abf9862bb460415a9dedba4b03025a73	0910d2a0e6b40126c910c408f0cb827a	1afe3d08cc6fad87d7c898c9432eee2c	""	4	3900000	4.88
51caf17a2f404b1c93dbe2a7c28a0d14	0a110593158e2d9227185cb78983b232	58bd04c7903b2cb8cda9083617038b1c	""	3	38427589	2.68
7d7e95e2e2f4464d8adbda4954b51e71	0bcc40df2a9274a3e38584fa8d35dca8	8f51ea398c71944f9a7659d56b981fd4	""	2	31431306	2.67
6fff04bdcb304a5e8b2776745dbf7d80	0e4fbff8a290ecedb2b6dc41e30eafa8	25a884d70079353693d36190dbe31f7a	""	7	1016172	1.27
5feb40f22543457b9e0e6ef5b0ece794	0ef5d2352965d4837c1b16f1e409e37f	97c7b0a08b692464baf8678cf111833c	""	8	15467595	0.83
9596626fd56a425990cb9d7752e42071	11fbec2399105bf6bd7400243b192dfa	ef0989edbd4fb85054f08118f9ba7301	""	6	3170000	0.49
3f1dd33b83e9432e9fac7574a695bd95	13cce95681f9d9cf0dc518586833c203	0c467b8a15115d462a3e17f8de7c0200	""	9	1836720	0.77
5f6820ff99944dedb034a10098d3171a	1610085559b94d1e51393283475412c3	685b1e4f0b964f9688c9e9a3302b1855	""	2	14850000	3.09
e359977eb1944913811f2ca15bd2dc5e	19b38498cd3be6001cc70da533a6320d	05fac8cf090047609f74f748692b29b7	""	1	23398200	29.25
d1d9a71dfead432491f3f7c2e94ca524	1d74e5e4d482cae7d1ecd18bb83c05b1	0a0c3cfc66a9173c2de45a736b785f30	""	1	120000000	17.75
26b497c3bd09410aaff1f50ef37c5bbb	2662d83b1e78360ef61d98c9189a9330	14a382c62ea698b177bf6da1e954d27b	""	7	7320376	0.64
5f9c32fef2344b7fa54957149783f0a3	26abb253122850af46606c5f8915a62b	50132562192ee59fd23735b1dc0ea096	""	4	1411443	1.45
bf7c3ff6bda94516b884a40847eb163f	26c55fa8483f4c7764781f0c67729855	8a22cdfe3ac2c70a99149491c983c8d0	""	8	15000000	0.69
6cbb2d21471d4cf1a99e7be3bb3d4019	298a9e74cf9a36bab7481a2d0c6fbd60	bf40693c6c84e60d1095c3326840835c	""	6	7285549	2.32
4feff7b1ef7b485291025d03e67da51e	2b81d6eb31ad9c3cb4f4d92f4121545d	40ecb1a3c4ef1c8a59e99ec424fcb31a	""	2	27017893	5.95
074546b132d54f2f91632133f31712a9	2c04532c1a49d44b0df9442010d6b5ae	dc54b572b0c6a788a01c83ae97b8953d	""	1	6000000	6.25
dc64499eb7c14177a0376d71a7308ca1	2d90742d65ed9d9b14352fab96ef62af	3247156392db932c50ccfd2150cb606b	""	9	1697407	0.39
435364f34bf54bf2ba75659202a89375	37010ab27ce88a76e1695f2ab396d796	8b1aa04a1c4a54ba26bda99fbae52263	""	9	8009500	0.93
2b17072d2d5a4d2f92750ded60e957a8	399774b77f956ae9587b69675786e98d	0b63f46ce46fac8442da6b74c8593515	""	2	4764900	5.21
fd777a0445d545bc9a3e4d51fc7bc17f	41ba8ddd1c53c945498321bdec78b196	b031bda1d2fbe2779db9901c7f1461f6	""	9	477400	0.35
8ea5b97f2805468abca4cb217775577e	45424266ec84c3c2a8625221d333aeff	7c0c72cd948cff46efdd8faad51eb7d4	""	4	2138200	1.54
e402a61ad30346c594a2ccd81751edf2	47dd4ce494ebbdb4fd4751c3c1cb16e1	3f44c9eb9988069c2a84ba7c635b8358	""	4	855550	0.85
8576e90318384c8a9b7135360bc0384a	4cac9cba627392d618d652ab31d8672c	355fffce695d72c76c4dfd5b48b786ab	""	8	11678531	0.6
6b883694ce4a4ded96bad185dd111e61	4e2786b15512102765c098d9ac525716	45ed4880adb20c2002b85975b839f105	""	8	2465800	0.6
959bc9e00592461f9f0c44731438eb45	4e54e6fbc38336d405a5316c2f4e482f	05d565827651a898992ce64cd52c65bd	""	6	1865561	0.6
d71b0d58f45543f69b00214fac0b7d62	4f57da8196b44c2c46370344f412b07c	f93ee5a368444fe2216500bfc77d20ab	""	3	810134	0.37
5e53485593bf41c3a5fb2ea12c5bd5db	4fc33327d9b55cd196068d04f942414d	2a1cb65dc26d12c7fbe4429470682f2b	""	8	761200	0.38
0bede229914c43669f4c6a704f9019a9	54af05e81c4d80256e57332fd3c0aae2	26bc725767704a7fb66949688919fe25	""	3	46760250	3.37
68b34b98d1874463b727aec08aa12775	5577d3acc883c2c1ae60e759d2aaad36	3fa56f9e0be63265628568f400f5c8d0	""	6	3063486	1.37
86ee3328a83947fc94afeda18573596e	58741ec0a61522e3f0ceae0162d13edc	6b598958177b0c9f1f18e0aed6e1d23c	""	7	718720	0.42
c4cd8fdbff5448dfa4c9cafcab1d687c	590b247bcd530f8122b302565f64ffc5	b031bda1d2fbe2779db9901c7f1461f6	""	8	800000	0.58
df0ce73a7fc542b0a3b6867c6800e9ab	59917e041ef13c3362dd984388ea14e7	77e5257a48f0f86f9a7786846b60def3	""	4	6009636	3.81
39a836dbe3a04ecf8ab4ea5b47d5e451	5ca25a8640c55a3496158e66c466d692	f79c0f783bd44c946f1b699482ddca81	""	1	52224000	12.48
88022437f2aa40669f7e9956a73bd6fc	5e923f29da1a3e406d7f7d5fd1d38c74	0c28c081c950f386042c4fe201dc209c	""	4	8674790	4
e61911a03b6e4c918e03583788c27dbc	5ee884eb13e2f9f65254c2dbcb52f79b	80fdc61990e6e6fb3eb7b022d209e9e8	""	7	24727920	0.23
fded62b90a304c2ea3f29af7ea4dc78b	63aad2b729171082ce684dd11858c665	3eddffe95919c2cfc4939463020299e0	""	7	6582955	0.98
