uid	startnode	endnode	reportdate	order	ratio
80632fadd86143f0b39ee0a03dc4d329	067c8b3fdaf80be00d2d15bde3618fc4	b728e6e6167a752fbe20d54131746c97	2019.0	4.0	4.87
3e5abc3bd17c440d899c9d0b5ae5a741	0ac1cb24514d2f6d1a6f38e3deb26a5b	ce4c3e7b00dcdd45f4b9fc6eccc99481	2019.0	2.0	6.69
3527eef1cb8e49748b3826627ece23a9	0d6c62fde62cda6202bfbb05c6f4ecaa	058fd46a2013942d765c4ad411b6eb15	2019.0	1.0	43.26
24dc5f1f0220435aaa6f3c5739580922	103ee17393ae5a771577b19d38d4103f	973e3b5c56930ba60ee2ff5007630754	2019.0	2.0	2.88
d1f94a9c481c4a8785e17613c6337db9	1496591951d1fa49ce601b516221fcd3	f78942f5f1e024ec0933057824bcd788	2019.0	2.0	3.4
a07e3281cb7c4ad7879eb802c8fd25a6	17f9567710a94889b99678d413b17f53	928a201271cbe56f92063ec631669631	2018.0	2.0	10.61
af3a89af4d794059920423b9ee7c1bee	1d5a0743290857abf3c3aeca61b60a4a	b103dda522eb049d27a199761015549f	2019.0	2.0	10.81
542de00e886c4e99a059f9c2cf1235aa	2990c6f4a47f597aa1612a2c9b406f0b	a29bcfd975f7554bb3e9f2d39997927a	2019.0	4.0	2
4c3dff16f77a4cc8936664bb482b9847	2d20e2d5c6e7e4ddad63e878acbf33d2	f494c1171a2fd715881089d25c267e27	2019.0	1.0	9.32
53f6ec3fef884dae932a3ca53e9af4a0	2d7b8f6358834c9fcdfd812ac04e5658	7b6216be0095a34d44e5e7875828f7f6	2019.0	2.0	3.65
d59754e0380a48128dee8f872f5a0d12	2ff876a7830a4cdee6bd8b8f183901f2	cd0f68949347bbcb495c84398dc81ded	2019.0	4.0	1.91
d6319a2acc3c45a1a85858379ed73221	348d89a683b38ad2759a5a4c8d455bf3	87d330e6cfea5b150056b736c47d746d	2019.0	5.0	6.39
4da6fa44c64e4b5dba2febaf9049a731	3649d0d52e56a8dd20a3ff095ebac836	f07e77bb6115d6695f84d4944d3c725a	2018.0	3.0	2.99
86430c6cebe54c5591d0d8a856e84041	373deaf433c0945dfd3fc660df942b9a	0e56f77eb1be600e7fa24e91199a2e76	2019.0	3.0	7.93
7bfc4ef1e5384050a02f916610ba6504	39a15240478a242a1ae253752aa85852	aa44750d9df8220aed783f9a39f09134	2019.0	2.0	14.72
65f6d87c650a44e7bb63bc623ff1f9c6	4287701589f1e119c989b62904b1bf7a	9b15a7fd45f94692d29b2e5ac892466b	2019.0	5.0	4.33
281ddbd74a61488385a8236c43947864	4749f0b2c3f2b31cedd4eef8cc134161	430d595db244f283aceb19c5a2dbd20e	2019.0	2.0	2.56
a9070c497c9d4696a6bf20e8f6a3138f	49f08daa05f88a60b2dc62095ed7e54c	163a09d18e618cf099e2383d73c8ab5a	2019.0	2.0	6.78
