mc	gpdm	bgnd	order	bl
AGENA BIOSCIENCE, INC	002030.SZ	2018.0	2.0	6.24
ASM Pacific (Hong Kong) Ltd	300373.SZ	2018.0	1.0	9.54
DE LEEUW HUIDENHANDEL N.V.	603477.SH	2019.0	3.0	4.31
R	601231.SH	2018.0	3.0	7.69
R	688008.SH	2017.0	5.0	4.52
东莞市文鑫实业投资有限公司	000023.SZ	2017.0	3.0	3.73
东莞市文鑫实业投资有限公司	000023.SZ	2018.0	4.0	4.04
东莞市文鑫实业投资有限公司	000023.SZ	2019.0	4.0	2.76
中国石化销售股份有限公司	300815.SZ	2017.0	2.0	7.97
中国石化销售股份有限公司	300815.SZ	2018.0	2.0	8.11
中国邮政速递物流股份有限公司杭州市分公司	300792.SZ	2017.0	4.0	1.61
中国黄金集团黄金珠宝(北京)有限公司	600857.SH	2017.0	1.0	20.58
中建三局集团有限公司	300388.SZ	2019.0	2.0	2.69
中建三局集团有限公司	600603.SH	2018.0	1.0	""
中建三局集团有限公司	600603.SH	2019.0	4.0	""
中建三局集团有限公司	600603.SH	2017.0	5.0	""
中建三局集团有限公司	000965.SZ	2019.0	1.0	29.16
中建三局集团有限公司	000965.SZ	2017.0	2.0	9.64
中建三局集团有限公司	000965.SZ	2018.0	2.0	3.04
中建三局集团有限公司	001914.SZ	2017.0	1.0	8.1
中建三局集团有限公司	000537.SZ	2017.0	3.0	6.86
中建三局集团有限公司	600094.SH	2017.0	3.0	""
中建三局集团有限公司	600094.SH	2018.0	3.0	""
乌拉特后旗万欣铸造有限责任公司	000688.SZ	2017.0	1.0	8.61
乌拉特后旗万欣铸造有限责任公司	000688.SZ	2018.0	3.0	4.41
内蒙古上泰实业有限公司	603985.SH	2017.0	3.0	6.41
内蒙古超今新材料有限公司	300694.SZ	2017.0	2.0	19.11
北京中铁华升置业有限公司	300785.SZ	2018.0	1.0	51.02
北京局集团,上海局集团,济南局集团	601816.SH	2017.0	3.0	3.83
北京思汇众达科技发展有限公司	688200.SH	2017.0	1.0	6.83
北京思汇众达科技发展有限公司	688200.SH	2018.0	1.0	11.98
北京杰元建筑装饰工程有限公司	600321.SH	2019.0	5.0	3.69
北京浩丰创源科技股份有限公司	000836.SZ	2017.0	2.0	2.82
北京玛斯生物技术有限公司	688202.SH	2017.0	3.0	4.47
北京玛斯生物技术有限公司	688202.SH	2018.0	3.0	5.28
南京云鹰低飞影视文化工作室	300133.SZ	2017.0	2.0	2.3
南京仟驰通讯科技有限公司	000066.SZ	2017.0	3.0	3.6
南京仟驰通讯科技有限公司	000066.SZ	2018.0	3.0	2.77
厦门市德晟景成贸易有限公司	688101.SH	2017.0	4.0	2.66
吉林海通制药有限公司	300108.SZ	2018.0	1.0	11.05
大连业建有限公司	300630.SZ	2017.0	5.0	2.49
宁夏启元药业有限公司	300630.SZ	2017.0	1.0	14.5
宝兴县剑锋制箔电子有限公司	002806.SZ	2017.0	4.0	3.79
宝兴县剑锋制箔电子有限公司	002806.SZ	2018.0	4.0	6.92
宝洁(中国)营销有限公司	000785.SZ	2018.0	3.0	1.57
宝洁(中国)营销有限公司	000785.SZ	2017.0	4.0	1.44
宝洁(中国)营销有限公司	000759.SZ	2018.0	3.0	1.8
宝洁(中国)营销有限公司	000759.SZ	2019.0	3.0	1.71
宝洁(中国)营销有限公司	000759.SZ	2017.0	4.0	2.05
山东洁畅真空技术有限公司	000976.SZ	2017.0	4.0	5.56
山西全盛化工有限责任公司	002360.SZ	2019.0	4.0	5.86
工夫影业(宁波)有限公司	000802.SZ	2017.0	3.0	11.21
徐州荣翔建设工程有限公司	000011.SZ	2017.0	4.0	2.35
新兴铸管股份有限公司南京销售分公司	601199.SH	2017.0	3.0	10.01
新兴铸管股份有限公司南京销售分公司	601199.SH	2018.0	3.0	18.97
新兴铸管股份有限公司南京销售分公司	601199.SH	2019.0	5.0	3.47
浙江高速信息工程技术有限公司	001965.SZ	2019.0	3.0	1.54
海城市中昊镁业有限公司	002225.SZ	2019.0	1.0	3
淄博齐翔腾达化工股份有限公司	002094.SZ	2017.0	4.0	3.73
舟山铭兴贸易有限责任公司	600618.SH	2019.0	5.0	4
通山县飞燕石材厂	002989.SZ	2017.0	3.0	3.06
通山县飞燕石材厂	002989.SZ	2018.0	4.0	1.21
重庆美达钟表有限公司	000417.SZ	2019.0	1.0	2.84
重庆美达钟表有限公司	000417.SZ	2018.0	2.0	2.1
重庆美达钟表有限公司	000417.SZ	2017.0	3.0	1.34
长春市家恺工贸有限公司	605001.SH	2018.0	2.0	3.64
长春市家恺工贸有限公司	605001.SH	2019.0	2.0	3.5
长沙市惠杰科技发展有限公司	300800.SZ	2017.0	4.0	2.68
阔扬科技集团有限公司	002504.SZ	2018.0	5.0	2.95
阔扬科技集团有限公司	300070.SZ	2017.0	3.0	3.32
阳光纸业	603687.SH	2018.0	5.0	3.82
陕西红汇食品有限责任公司	000721.SZ	2017.0	5.0	0.23
