mc	gpdm	bgnd	order	bl
c	600448.SH	2017.0	3.0	""
Inabata      Sangyo        (H.K.)    Ltd	688138.SH	2018.0	2.0	23.41
TO-TOP Electronics Company Limited	300504.SZ	2017.0	5.0	2.32
TRACO TRANSPORT JOINT STOCK CORPOR	000893.SZ	2018.0	2.0	9.34
ZHONGCE RUBBER GROUP CO., LTD.(THAILAND)	603335.SH	2019.0	1.0	14.78
上海耀澄贸易有限公司	300447.SZ	2017.0	1.0	8.1
上海耀澄贸易有限公司	300447.SZ	2019.0	2.0	6.91
上海耀澄贸易有限公司	300447.SZ	2018.0	4.0	4.54
东营浩锐商贸有限公司	002476.SZ	2017.0	4.0	3.66
中交富通(北京)建设工程有限公司	600288.SH	2019.0	4.0	0.62
中国中药有限公司	603963.SH	2018.0	1.0	47.82
中国中药有限公司	603963.SH	2019.0	1.0	70.05
中国华西企业股份有限公司	600603.SH	2018.0	2.0	""
中国华西企业股份有限公司	600603.SH	2019.0	2.0	""
中国华西企业股份有限公司	600603.SH	2017.0	3.0	""
中山市大地之作食品厂	300824.SZ	2017.0	4.0	2.72
中山市大地之作食品厂	300824.SZ	2019.0	5.0	2.52
供应一	002708.SZ	2019.0	1.0	6.94
供应一	300505.SZ	2017.0	1.0	9.74
供应一	002669.SZ	2019.0	1.0	5.72
北京七兆科技有限公司	688066.SH	2018.0	5.0	2.58
北京唯暖莹心服装服饰有限公司	002612.SZ	2018.0	5.0	2.41
北京安信创业信息科技发展公司	688078.SH	2018.0	2.0	8.76
和宇健康科技股份有限公司	300297.SZ	2019.0	3.0	5.38
品牌 3	002024.SZ	2018.0	3.0	5.09
四川铁投信息技术产业投资有限公司	000586.SZ	2018.0	5.0	4.35
大连富荣达建筑劳务有限公司	000010.SZ	2017.0	1.0	12.97
安徽安凯汽车股份有限公司	600561.SH	2017.0	2.0	""
安徽安凯汽车股份有限公司	600561.SH	2018.0	2.0	""
安徽安凯汽车股份有限公司	600561.SH	2019.0	3.0	""
山西壶化集团股份有限公司	002360.SZ	2017.0	2.0	11.32
山西壶化集团股份有限公司	002360.SZ	2018.0	2.0	6.87
山西壶化集团股份有限公司	002360.SZ	2019.0	3.0	9.46
平阳安信混凝土有限公司	002586.SZ	2019.0	4.0	0.66
广州特为电力科技有限公司	300297.SZ	2018.0	5.0	2.86
廊坊浩崴金属制品有限公司	002985.SZ	2019.0	5.0	3.98
新疆天德诚贸易有限公司	002828.SZ	2017.0	2.0	4.06
星硅(上海)商贸有限公司	688019.SH	2017.0	2.0	17.14
星硅(上海)商贸有限公司	688019.SH	2018.0	3.0	10.44
武汉久泰伟业钢铁有限公司	000678.SZ	2017.0	1.0	9.84
江苏远大仙乐药业有限公司	688505.SH	2017.0	2.0	12.03
江苏远大仙乐药业有限公司	688505.SH	2018.0	3.0	4.57
江门市大平木业有限公司	000910.SZ	2017.0	2.0	4.61
河北丰收文化传播有限公司	000673.SZ	2017.0	3.0	4.27
河北宝鑫轴承制造有限责任公司	000595.SZ	2018.0	3.0	3.92
河北文都商贸有限公司	001896.SZ	2017.0	4.0	2.36
河南黄河旋风股份有限公司	002282.SZ	2017.0	3.0	4.05
浙江宏厦建设有限公司	002344.SZ	2017.0	5.0	3.74
浙江宏厦建设有限公司	002344.SZ	2018.0	5.0	1.73
深圳市大晟机械有限公司	002990.SZ	2019.0	4.0	4.04
深圳市百泰实业股份有限公司	300793.SZ	2018.0	4.0	3.02
深圳汇业国际控股有限公司	002388.SZ	2018.0	2.0	2.37
深圳科安达电子科技股份有限公司	688009.SH	2018.0	4.0	0.48
西安西电电力电容器有限责任公司	300215.SZ	2018.0	4.0	3.55
酒泉市鑫兴玻璃有限公司	000995.SZ	2017.0	4.0	9.46
重庆恒杰投资有限公司	000155.SZ	2018.0	4.0	5.62
重庆恒杰投资有限公司	000155.SZ	2019.0	4.0	8.4
预付达州地块土地出让金	000609.SZ	2017.0	1.0	75.65
