id	gpdm	gysmc	bgnd	order	gysbl
0	000791.SZ	四川美富特环境治理有限责任公司	2017	1	5.87
0	000791.SZ	华研风电设备有限公司	2018	1	11.59
0	000791.SZ	兰州中来电化设备有限公司	2019	1	7.42
0	000791.SZ	山东贝特尔环保科技有限公司	2017	2	5.64
0	000791.SZ	新疆金风科技股份有限公司	2018	2	9.7
0	000791.SZ	甘肃鑫源泰电力设备有限公司	2019	2	5.22
0	000791.SZ	肃南裕固族自治县祁隆建筑安装有限责任公司	2017	3	5.22
0	000791.SZ	甘肃鑫源泰电力设备有限公司	2018	3	5.8
0	000791.SZ	兰州隆鑫达商贸有限公司	2019	3	3.49
0	000791.SZ	甘肃荣升建设有限公司	2017	4	4.55
0	000791.SZ	兰州倚能电力(集团)有限公司	2018	4	5.02
0	000791.SZ	兰州天明电缆仪器仪表有限公司	2019	4	3.32
0	000791.SZ	甘肃鑫源泰电力设备有限公司	2017	5	3.67
0	000791.SZ	兰州颐和商贸有限公司	2018	5	3.54
0	000899.SZ	神华销售集团有限公司华中分公司	2017	1	28.42
0	000899.SZ	神华销售集团有限公司华中分公司	2018	1	23.2
0	000899.SZ	神华销售集团有限公司华中分公司	2019	1	19.32
0	000899.SZ	中煤华中能源有限公司	2017	2	11.08
0	000899.SZ	中煤华中能源有限公司	2018	2	13.2
0	000899.SZ	中煤华中能源有限公司	2019	2	16.14
0	000899.SZ	江西江能物贸有限公司	2017	3	6.33
0	000899.SZ	张家港保税区航顺电力燃料有限公司	2018	3	9.24
0	000899.SZ	苏美达国际技术贸易有限公司	2019	3	9.14
0	000899.SZ	上海申能燃料有限公司	2017	4	6.08
0	000899.SZ	苏美达国际技术贸易有限公司	2018	4	6.58
0	000899.SZ	陕西煤业化工贸易物流有限公司	2019	4	8.68
0	000899.SZ	江西煤业集团有限责任公司销售运输分公司	2017	5	5.59
0	000899.SZ	陕西煤业化工贸易物流有限公司	2018	5	6.48
0	000899.SZ	张家港保税区航顺电力燃料有限公司	2019	5	7.81
0	000539.SZ	广东省粤电集团有限公司	2017	1	57.95
0	000539.SZ	广东省能源集团有限公司	2018	1	71.52
0	000539.SZ	广东省能源集团有限公司	2019	1	62.69
0	000539.SZ	广东大鹏液化天然气有限公司	2017	2	6.88
0	000539.SZ	广东珠投电力燃料有限公司	2018	2	7.71
0	000539.SZ	中国能源建设集团广东省电力设计研究院有限公司	2019	2	20.55
0	000539.SZ	广东珠投电力燃料有限公司	2017	3	4.85
0	000539.SZ	广东大鹏液化天然气有限公司	2018	3	4.48
0	000539.SZ	广东大鹏液化天然气有限公司	2019	3	3.28
0	000539.SZ	东方电气股份有限公司	2017	4	2.68
0	000539.SZ	东方电气股份有限公司	2018	4	2.72
0	000539.SZ	中国能源建设集团广东火电工程有限公司	2019	4	2.63
0	000539.SZ	中国能源建设集团广东火电工程有限公司	2017	5	1.15
0	000539.SZ	中国能源建设集团广东火电工程有限公司	2018	5	1.14
0	000539.SZ	湖南省工业设备安装有限公司	2019	5	0.9
0	000611.SZ	客户二	2017	1	22.48
0	000611.SZ	客户一	2018	1	0.36
0	000611.SZ	客户一	2019	1	38.36
0	000611.SZ	客户一	2017	2	22.0
0	000611.SZ	客户二	2018	2	0.34
0	000611.SZ	客户二	2019	2	36.37
0	000611.SZ	客户三	2017	3	13.98
0	000611.SZ	客户三	2018	3	0.11
0	000611.SZ	客户三	2019	3	11.03
0	000611.SZ	客户四	2017	4	9.07
0	000611.SZ	客户四	2018	4	0.05
0	000611.SZ	客户四	2019	4	7.46
0	000611.SZ	客户五	2017	5	4.64
0	000611.SZ	客户五	2018	5	0.04
0	000611.SZ	客户五	2019	5	2.34
0	603221.SH	江阴市飞盛塑胶贸易有限公司	2017	1	9.7
0	603221.SH	浙江永安资本管理有限公司	2018	1	13.25
0	603221.SH	无锡顶太国际贸易有限公司	2019	1	14.42
0	603221.SH	上海达昌装饰材料有限公司	2017	2	9.33
0	603221.SH	无锡顶太国际贸易有限公司	2018	2	8.52
0	603221.SH	浙江永安资本管理有限公司	2019	2	13.99
0	603221.SH	无锡顶太国际贸易有限公司	2017	3	7.73
0	603221.SH	上海达昌装饰材料有限公司	2018	3	8.2
0	603221.SH	浙江润阳新材料科技股份有限公司	2019	3	6.71
0	603221.SH	联成化学科技股份有限公司	2017	4	6.87
0	603221.SH	联成化学科技股份有限公司	2018	4	7.16
0	603221.SH	联成化学科技股份有限公司	2019	4	5.99
0	603221.SH	常州市浩逸化工有限公司	2017	5	6.39
0	603221.SH	浙江润阳新材料科技股份有限公司	2018	5	6.61
0	603221.SH	上海达昌装饰材料有限公司	2019	5	5.57
0	000966.SZ	神华销售集团有限公司	2017	1	11.04
0	000966.SZ	神华销售集团有限公司	2018	1	20.47
0	000966.SZ	神华销售集团有限公司	2019	1	27.72
0	000966.SZ	国电陕西燃料有限公司	2017	2	10.17
0	000966.SZ	国电青山热电有限公司	2018	2	6.46
0	000966.SZ	国电青山热电有限公司	2019	2	7.86
0	000966.SZ	国电青山热电有限公司	2017	3	9.23
0	000966.SZ	国电陕西燃料有限公司	2018	3	4.47
0	000966.SZ	山西潞安环保能源开发有限公司	2019	3	6.07
0	000966.SZ	那曲瑞昌煤炭运销有限公司	2017	4	7.12
0	000966.SZ	山西潞安环保能源开发股份有限公司	2018	4	3.69
0	000966.SZ	国电陕西燃料有限公司	2019	4	6.03
0	000966.SZ	河南大有能源股份有限公司	2017	5	6.52
0	000966.SZ	陕西省煤炭运销(集团)有限责任公司韩城分公司	2018	5	2.91
0	000966.SZ	河南大有能源股份有限公司	2019	5	4.69
0	000768.SZ	供应商1	2017	1	65.26
0	000768.SZ	供应商1	2018	1	54.71
0	000768.SZ	供应商1	2019	1	51.39
0	000768.SZ	供应商2	2017	2	17.59
0	000768.SZ	供应商2	2018	2	10.82
0	000768.SZ	供应商2	2019	2	18.63
0	000768.SZ	供应商3	2017	3	3.17
0	000768.SZ	供应商3	2018	3	2.46
0	000768.SZ	供应商3	2019	3	1.98
0	000768.SZ	供应商4	2017	4	1.96
0	000768.SZ	供应商4	2018	4	2.32
0	000768.SZ	供应商4	2019	4	1.9
0	000768.SZ	供应商5	2017	5	1.26
0	000768.SZ	供应商5	2018	5	1.91
0	000768.SZ	供应商5	2019	5	0.98
0	002207.SZ	第一名	2017	1	13.41
0	002207.SZ	第一名	2018	1	18.62
0	002207.SZ	第一名	2019	1	15.58
0	002207.SZ	第二名	2017	2	3.89
0	002207.SZ	第二名	2018	2	11.73
0	002207.SZ	第二名	2019	2	15.25
0	002207.SZ	第三名	2017	3	2.74
0	002207.SZ	第三名	2018	3	3.77
0	002207.SZ	第三名	2019	3	10.7
0	002207.SZ	第四名	2017	4	1.91
0	002207.SZ	第四名	2018	4	2.97
0	002207.SZ	第四名	2019	4	6.86
0	002207.SZ	第五名	2017	5	1.88
0	002207.SZ	第五名	2018	5	2.21
0	002207.SZ	第五名	2019	5	4.08
0	300775.SZ	C	2017	1	68.27
0	300775.SZ	C	2018	1	53.84
0	300775.SZ	C	2019	1	63.63
0	300775.SZ	F	2017	2	13.34
0	300775.SZ	F	2018	2	13.56
0	300775.SZ	F	2019	2	12.64
0	300775.SZ	华艺中工科技(西安)有限公司	2017	3	3.23
0	300775.SZ	华艺中工科技(西安)有限公司	2018	3	10.46
0	300775.SZ	西安航远航空新材料科技有限公司	2019	3	8.84
